time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,windspeed_10m_mean
2013-01-01,32.3,16.7,28.8,0.0,15.3,12.5
2013-01-02,27.2,5.3,15.1,0.0,13.8,10.7
2013-01-03,19.8,-0.7,8.2,0.0,12.5,8.5
2013-01-04,36.0,7.8,21.8,0.0,14.6,10.8
2013-01-05,36.8,28.1,30.7,0.0,13.2,9.5
2013-01-06,39.3,25.7,31.5,0.008,12.2,6.6
2013-01-07,34.0,21.8,27.7,0.0,12.0,7.7
2013-01-08,41.5,19.1,30.2,0.0,14.8,11.6
2013-01-09,39.9,27.7,35.0,0.0,18.3,7.7
2013-01-10,42.0,27.2,36.4,0.0,16.7,13.0
2013-01-11,37.5,24.4,32.7,0.106,9.9,5.7
2013-01-12,43.0,36.5,39.6,0.063,9.6,4.0
2013-01-13,50.0,39.0,44.3,0.0,11.9,7.1
2013-01-14,57.9,40.4,48.3,0.0,12.3,9.9
2013-01-15,42.5,35.1,38.5,0.0,9.1,5.0
2013-01-16,35.3,28.8,33.0,0.583,7.6,4.9
2013-01-17,39.9,21.7,30.4,0.0,12.3,8.9
2013-01-18,27.1,11.0,20.5,0.043,14.8,10.6
2013-01-19,42.5,11.9,31.7,0.0,19.1,14.5
2013-01-20,47.6,28.2,39.2,0.0,20.1,15.6
2013-01-21,30.4,22.5,25.9,0.091,16.8,8.5
2013-01-22,27.2,12.5,19.7,0.035,16.3,11.2
2013-01-23,13.7,4.5,9.0,0.0,16.4,13.1
2013-01-24,17.0,-2.2,7.0,0.0,17.0,14.0
2013-01-25,23.1,3.8,13.5,0.004,17.0,9.8
2013-01-26,22.7,6.5,15.6,0.02,14.9,9.8
2013-01-27,27.4,9.1,16.1,0.0,14.6,12.5
2013-01-28,29.0,8.3,21.0,0.193,8.3,5.1
2013-01-29,35.8,26.3,31.1,0.063,6.7,4.5
2013-01-30,54.1,34.4,45.7,0.102,19.1,14.2
2013-01-31,56.8,32.1,48.3,0.484,27.8,19.6
2013-02-01,33.6,24.4,29.6,0.0,18.6,14.7
2013-02-02,30.0,19.4,24.4,0.0,15.0,10.3
2013-02-03,31.7,23.4,26.8,0.016,10.7,7.4
2013-02-04,30.7,21.4,25.5,0.004,18.4,13.2
2013-02-05,29.5,19.3,24.2,0.008,11.7,5.0
2013-02-06,38.1,25.7,30.4,0.024,13.1,7.4
2013-02-07,28.5,20.4,24.2,0.0,10.9,7.9
2013-02-08,34.4,24.5,30.3,1.252,31.3,17.2
2013-02-09,24.6,13.9,17.4,1.157,30.5,24.7
2013-02-10,30.8,7.4,17.3,0.0,17.0,9.4
2013-02-11,43.4,10.3,28.2,0.213,15.7,9.3
2013-02-12,41.8,31.2,36.3,0.0,16.8,11.8
2013-02-13,40.4,21.1,29.8,0.0,11.5,6.7
2013-02-14,38.6,24.4,30.8,0.02,11.1,6.6
2013-02-15,45.1,22.7,32.3,0.0,11.9,9.3
2013-02-16,35.3,26.4,31.2,0.083,12.6,7.6
2013-02-17,27.5,14.6,20.3,0.283,22.5,19.7
2013-02-18,27.3,9.8,17.3,0.0,21.3,17.4
2013-02-19,43.9,13.3,28.6,0.39,13.0,9.4
2013-02-20,37.0,22.9,30.3,0.13,17.3,13.7
2013-02-21,29.9,19.3,23.8,0.0,18.4,15.4
2013-02-22,34.9,20.2,27.4,0.0,16.2,9.6
2013-02-23,36.4,25.6,31.4,0.118,10.2,7.4
2013-02-24,34.6,30.9,33.3,1.299,14.8,12.5
2013-02-25,37.2,26.3,31.9,0.063,9.9,6.0
2013-02-26,39.4,26.5,32.3,0.0,10.2,5.7
2013-02-27,40.3,33.1,38.0,1.016,21.7,15.9
2013-02-28,47.0,32.3,38.1,0.004,8.1,4.1
2013-03-01,39.8,25.4,33.1,0.0,12.2,7.8
2013-03-02,40.2,28.6,33.8,0.0,9.9,6.8
2013-03-03,39.2,29.0,33.3,0.0,11.0,7.7
2013-03-04,38.8,26.4,31.9,0.0,15.5,13.7
2013-03-05,40.4,27.8,33.2,0.0,15.2,10.3
2013-03-06,38.5,28.2,35.2,0.13,23.1,17.3
2013-03-07,35.0,31.8,33.4,0.917,25.5,22.1
2013-03-08,38.5,29.9,33.0,1.091,21.2,19.5
2013-03-09,39.3,27.0,32.9,0.0,17.4,12.5
2013-03-10,38.6,22.5,30.3,0.0,8.9,6.6
2013-03-11,47.0,27.1,36.6,0.0,11.2,8.6
2013-03-12,50.5,38.0,46.0,0.453,17.3,13.0
2013-03-13,50.6,33.6,42.9,0.028,11.9,9.3
2013-03-14,36.3,25.4,31.0,0.0,17.0,12.3
